timestamp,workpiece_x,status,cycle_time
1774795031.4856298,-0.094,Painting,2.25
1774795031.4899738,-0.092,Painting,2.25
1774795031.4942997,-0.09,Painting,2.25
1774795031.4986668,-0.088,Painting,2.26
1774795031.503012,-0.086,Painting,2.26
1774795031.507334,-0.084,Painting,2.27
1774795031.5116394,-0.082,Painting,2.27
1774795031.5160024,-0.08,Painting,2.28
1774795031.520377,-0.078,Painting,2.28
1774795031.5247622,-0.076,Painting,2.28
1774795031.5290995,-0.074,Painting,2.29
1774795031.5334513,-0.072,Painting,2.29
1774795031.5377934,-0.07,Painting,2.3
1774795031.5421262,-0.068,Painting,2.3
1774795031.5464709,-0.066,Painting,2.31
1774795031.5507991,-0.064,Painting,2.31
1774795031.55513,-0.062,Painting,2.32
1774795031.559484,-0.06,Painting,2.32
1774795031.5638463,-0.058,Painting,2.32
1774795031.5682237,-0.056,Painting,2.33
1774795031.5726154,-0.054,Painting,2.33
1774795031.5769343,-0.052,Painting,2.34
1774795031.5813239,-0.05,Painting,2.34
1774795031.585647,-0.048,Painting,2.35
1774795031.5899863,-0.046,Painting,2.35
1774795031.5943148,-0.044,Painting,2.35
1774795031.5986366,-0.042,Painting,2.36
1774795031.602967,-0.04,Painting,2.36
1774795031.607319,-0.038,Painting,2.37
1774795031.6116436,-0.036,Painting,2.37
1774795031.615974,-0.034,Painting,2.38
1774795031.620319,-0.032,Painting,2.38
1774795031.6246502,-0.03,Painting,2.38
1774795031.628973,-0.028,Painting,2.39
1774795031.633292,-0.026,Painting,2.39
1774795031.6376884,-0.024,Painting,2.4
1774795031.6420617,-0.022,Painting,2.4
1774795031.6463778,-0.02,Painting,2.41
1774795031.6507142,-0.018,Painting,2.41
1774795031.655055,-0.016,Painting,2.42
1774795031.659394,-0.014,Painting,2.42
1774795031.6637325,-0.012,Painting,2.42
1774795031.6680734,-0.01,Painting,2.43
1774795031.672456,-0.008,Painting,2.43
1774795031.6767797,-0.006,Painting,2.44
1774795031.6811075,-0.004,Painting,2.44
1774795031.6854453,-0.002,Painting,2.45
1774795031.6897917,0.0,Painting,2.45
1774795031.6941352,0.002,Painting,2.45
1774795031.6984947,0.004,Painting,2.46
1774795031.7028117,0.006,Painting,2.46
1774795031.7071197,0.008,Painting,2.47
1774795031.7114642,0.01,Painting,2.47
1774795031.715827,0.012,Painting,2.48
1774795031.720169,0.014,Painting,2.48
1774795031.724507,0.016,Painting,2.48
1774795031.7288375,0.018,Painting,2.49
1774795031.7331963,0.02,Painting,2.49
1774795031.737623,0.022,Painting,2.5
1774795031.7420065,0.024,Painting,2.5
1774795031.7464478,0.026,Painting,2.51
1774795031.7509358,0.028,Painting,2.51
1774795031.7553108,0.03,Painting,2.52
1774795031.7597537,0.032,Painting,2.52
1774795031.7641604,0.034,Painting,2.52
1774795031.7685306,0.036,Painting,2.53
1774795031.7729065,0.038,Painting,2.53
1774795031.777308,0.04,Painting,2.54
1774795031.7816784,0.042,Painting,2.54
1774795031.786088,0.044,Painting,2.55
1774795031.7905016,0.046,Painting,2.55
1774795031.7948782,0.048,Painting,2.56
1774795031.799209,0.05,Painting,2.56
1774795031.8035557,0.052,Painting,2.56
1774795031.8078911,0.054,Painting,2.57
1774795031.8122485,0.056,Painting,2.57
1774795031.8165736,0.058,Painting,2.58
1774795031.820911,0.06,Painting,2.58
1774795031.825262,0.062,Painting,2.59
1774795031.829571,0.064,Painting,2.59
1774795031.8339097,0.066,Painting,2.59
1774795031.8382454,0.068,Painting,2.6
1774795031.842552,0.07,Painting,2.6
1774795031.846893,0.072,Painting,2.61
